"dip_dir:0"	"dip_dir:1"	"dip_dir:2"	"normal_dir:0"	"normal_dir:1"	"normal_dir:2"	"strike_dir:0"	"strike_dir:1"	"strike_dir:2"	"Points:0"	"Points:1"	"Points:2"
0.84215145	0.42865398	0.3221844	-0.26110638	-0.14658611	0.95316208	0.45670328	-0.88832109	0	-16862.004	13066.728	-13870.81
0.85467734	0.3958986	0.33011847	-0.27617848	-0.13626645	0.95028415	0.42204918	-0.90496114	0	-16598.539	12908.395	-13807.102
0.89199977	0.18215952	0.37505656	-0.34776575	-0.084605835	0.93069661	0.20154675	-0.96237257	0	-15326.023	12143.655	-13403.076
0.95873766	0.1830934	0.13434388	-0.062752276	0.008898405	0.99761379	0.18300954	-0.96795946	0	-23778.871	17223.531	-13479.745
0.94937488	-0.29556765	0.10152336	-0.096720984	0.029742244	0.99485512	-0.29707057	-0.95432219	0	11498.567	-3977.019	-6330.1733
0.37808537	-0.90619383	0.18928552	-0.072063729	0.17132829	0.98256996	-0.92284279	-0.38514537	0	70.357765	2890.9495	-7592.1577
0.94922645	-0.29664707	0.10038117	-0.095573844	0.029570518	0.99497811	-0.29812613	-0.95405412	0	11345.689	-3885.1445	-6348.6689
0.78465638	-0.58468164	0.20602914	-0.16520354	0.12309203	0.97854749	-0.5974995	-0.80186057	0	-30246.213	21110.186	-14789.132
0.78271028	-0.58767222	0.20493649	-0.16388533	0.12302954	0.97877666	-0.60041391	-0.79968572	0	-29695.717	20779.357	-14652.475
0.92943979	-0.042752011	0.36628264	-0.36540854	0.016965202	0.93064927	-0.046003903	-0.99889223	0	-9965.0039	8921.8633	-11185.886
0.92890113	-0.058546866	0.36409987	-0.36268853	0.023213938	0.93150569	-0.06299087	-0.99737507	0	-9397.4229	8580.7666	-10948.362
0.91831723	0.011133539	0.39508991	-0.39337006	-0.0051227818	0.91930084	0.012272821	-0.9996603	0	-11773.224	10008.543	-11932.811
0.34984727	-0.92624212	0.13020298	-0.046229476	0.1182092	0.99176935	-0.93425345	-0.3530881	0	3245.1392	983.013	-7164.2461
