#HOLE:,U1518B
#EXPEDITION:,372
#TOP:,54.9772
#BOTTOM:,565.0600
DEPTH_LSF,DTCO,DTSM,VCO,VSH
m,us/ft,us/ft,km/s,km/s
118.5280,161.21352,-999.25,1.8907,-999.25
118.6804,160.05389,-999.25,1.9044,-999.25
118.8328,159.66884,-999.25,1.9090,-999.25
118.9852,159.52419,-999.25,1.9107,-999.25
119.1376,158.99455,-999.25,1.9170,-999.25
119.2900,158.87596,-999.25,1.9185,-999.25
119.4424,159.37123,-999.25,1.9125,-999.25
119.5948,160.39154,-999.25,1.9003,-999.25
119.7472,161.94592,-999.25,1.8821,-999.25
119.8996,163.14124,-999.25,1.8683,-999.25
120.0520,162.94666,-999.25,1.8706,-999.25
120.2044,160.89978,-999.25,1.8943,-999.25
120.3568,158.77609,-999.25,1.9197,-999.25
120.5092,160.00056,-999.25,1.9050,-999.25
120.6616,163.07280,-999.25,1.8691,-999.25
120.8140,165.05913,-999.25,1.8466,-999.25
120.9664,163.91061,-999.25,1.8596,-999.25
121.1188,159.41602,-999.25,1.9120,-999.25
121.2712,155.80241,-999.25,1.9563,-999.25
121.4236,155.73637,-999.25,1.9572,-999.25
121.5760,157.48753,-999.25,1.9354,-999.25
121.7284,160.24533,-999.25,1.9021,-999.25
121.8808,162.25667,-999.25,1.8785,-999.25
122.0332,162.84808,-999.25,1.8717,-999.25
122.1856,164.78584,-999.25,1.8497,-999.25
122.3380,168.69167,-999.25,1.8068,-999.25
122.4904,171.65584,-999.25,1.7756,-999.25
122.6428,173.26895,-999.25,1.7591,-999.25
122.7952,171.79819,-999.25,1.7742,-999.25
122.9476,166.89236,-999.25,1.8263,-999.25
123.1000,163.86658,-999.25,1.8600,-999.25
123.2524,163.04066,-999.25,1.8695,-999.25
123.4048,162.07095,-999.25,1.8807,-999.25
123.5572,160.37721,-999.25,1.9005,-999.25
123.7096,158.63799,-999.25,1.9214,-999.25
123.8620,156.46300,-999.25,1.9481,-999.25
124.0144,153.11073,-999.25,1.9907,-999.25
124.1668,151.15852,-999.25,2.0164,-999.25
124.3192,150.72176,-999.25,2.0223,-999.25
124.4716,151.56740,-999.25,2.0110,-999.25
124.6240,154.70367,-999.25,1.9702,-999.25
124.7764,159.18044,-999.25,1.9148,-999.25
124.9288,162.54326,-999.25,1.8752,-999.25
125.0812,164.51646,-999.25,1.8527,-999.25
125.2336,165.32628,-999.25,1.8436,-999.25
125.3860,164.01643,-999.25,1.8584,-999.25
125.5384,161.88057,-999.25,1.8829,-999.25
125.6908,159.74991,-999.25,1.9080,-999.25
125.8432,157.88292,-999.25,1.9305,-999.25
125.9956,157.22192,-999.25,1.9387,-999.25
126.1480,156.78938,-999.25,1.9440,-999.25
126.3004,155.80911,-999.25,1.9562,-999.25
126.4528,156.26521,-999.25,1.9505,-999.25
126.6052,158.91426,-999.25,1.9180,-999.25
126.7576,162.75240,-999.25,1.8728,-999.25
126.9100,164.78371,-999.25,1.8497,-999.25
127.0624,163.89104,-999.25,1.8598,-999.25
127.2148,163.32584,-999.25,1.8662,-999.25
127.3672,163.83299,-999.25,1.8604,-999.25
127.5196,163.11015,-999.25,1.8687,-999.25
127.6720,159.73447,-999.25,1.9082,-999.25
127.8244,154.64786,-999.25,1.9709,-999.25
