x,y,vp,vs,density
-250000.0,-225000.0,8.726641696734283,5.034422068730058,3501.875908096896
-200000.0,-225000.0,8.596825555927554,4.926825555927552,3477.3394043023313
-175000.0,-225000.0,8.557378264085134,4.89,3470.0000000000005
-150000.0,-225000.0,8.56,4.89,3469.9999999999995
-140000.0,-225000.0,8.56,4.89,3470.0
-130000.0,-225000.0,8.56,4.89,3470.0
-120000.0,-225000.0,8.56,4.89,3470.0
-110000.0,-225000.0,8.56,4.89,3470.0000000000005
-100000.0,-225000.0,8.56,4.89,3470.0
-95000.0,-225000.0,8.560000000000002,4.89,3470.0
-90000.0,-225000.0,8.56,4.89,3470.0
-85000.0,-225000.0,8.56,4.889999999999999,3469.9999999999995
-80000.0,-225000.0,8.560000000000002,4.89,3470.0000000000005
-75000.0,-225000.0,8.56,4.89,3470.0
-70000.0,-225000.0,8.56,4.89,3470.0
-65000.0,-225000.0,8.56,4.89,3470.0
-60000.0,-225000.0,8.56,4.89,3470.0
-55000.0,-225000.0,8.56,4.89,3470.0000000000005
-50000.0,-225000.0,8.56,4.89,3470.0
-47500.0,-225000.0,8.56,4.89,3470.0
-45000.0,-225000.0,8.560000000000002,4.89,3469.9999999999995
-42500.0,-225000.0,8.56,4.890000000000001,3470.0
-40000.0,-225000.0,8.56,4.89,3470.0
-37500.0,-225000.0,8.56,4.89,3470.0
-35000.0,-225000.0,8.56,4.89,3470.0
-32500.0,-225000.0,8.56,4.89,3470.0
-30000.0,-225000.0,8.56,4.89,3470.0
-27500.0,-225000.0,8.560000000000002,4.89,3470.0
-25000.0,-225000.0,8.56,4.89,3470.0
-22500.0,-225000.0,8.56,4.89,3470.0
-20000.0,-225000.0,8.56,4.89,3469.9999999999995
-17500.0,-225000.0,8.56,4.89,3470.0
-15000.0,-225000.0,8.56,4.89,3470.0
-12500.0,-225000.0,8.56,4.89,3470.0
-10000.0,-225000.0,8.56,4.89,3470.0
-7500.0,-225000.0,8.56,4.89,3470.0
-5000.0,-225000.0,8.56,4.89,3470.0
-2500.0,-225000.0,8.56,4.89,3470.0
0.0,-225000.0,8.560831861586756,4.890831861586753,3470.0
2500.0,-225000.0,8.561824053157784,4.891824053157783,3470.0000000000005
5000.0,-225000.0,8.562816271849789,4.89281627184979,3470.0
7500.0,-225000.0,8.563808517656444,4.893808517656444,3470.0
10000.0,-225000.0,8.56480079057142,4.89480079057142,3470.0
12500.0,-225000.0,8.565793090588386,4.895793090588386,3470.0
15000.0,-225000.0,8.566785417701015,4.896785417701014,3470.0
17500.0,-225000.0,8.567777771902973,4.897777771902971,3470.0
20000.0,-225000.0,8.568770153187927,4.898770153187925,3470.0
22500.0,-225000.0,8.569762561549544,4.899762561549544,3470.0
25000.0,-225000.0,8.57,4.9,3470.0
27500.0,-225000.0,8.57,4.9,3470.0
30000.0,-225000.0,8.57,4.9,3470.0
32500.0,-225000.0,8.57,4.8999999999999995,3470.0
35000.0,-225000.0,8.57,4.900000000000001,3470.0
37500.0,-225000.0,8.570000000000002,4.9,3470.0000000000005
40000.0,-225000.0,8.57,4.8999999999999995,3470.0
42500.0,-225000.0,8.57,4.9,3470.0
45000.0,-225000.0,8.57,4.9,3470.0
47500.0,-225000.0,8.57,4.900000000000001,3470.0000000000005
50000.0,-225000.0,8.57,4.9,3470.0
55000.0,-225000.0,8.570416457089985,4.8999999999999995,3469.9999999999995
60000.0,-225000.0,8.571657457415311,4.9,3470.0
65000.0,-225000.0,8.572898525178685,4.9,3470.0000000000005
70000.0,-225000.0,8.574139660348367,4.8999999999999995,3469.9999999999995
75000.0,-225000.0,8.575380862892608,4.9,3470.0000000000005
80000.0,-225000.0,8.576622132779645,4.9,3470.0
85000.0,-225000.0,8.577863469977718,4.9,3470.0
90000.0,-225000.0,8.579104874455044,4.9,3470.0
95000.0,-225000.0,8.579999999999998,4.9,3470.0
100000.0,-225000.0,8.579999999999998,4.9,3470.0
110000.0,-225000.0,8.58,4.9,3470.0
120000.0,-225000.0,8.58,4.9,3470.0
130000.0,-225000.0,8.58,4.9,3470.0
140000.0,-225000.0,8.58,4.9,3470.0
150000.0,-225000.0,8.580780075682068,4.900850991653163,3470.212747913291
175000.0,-225000.0,8.583995724614516,4.904358972306744,3471.0897430766854
200000.0,-225000.0,8.58721223679684,4.907867894687462,3471.966973671865
250000.0,-225000.0,8.5936478426319,4.914888555598435,3473.7221388996086
300000.0,-225000.0,8.600086876595956,4.921912956286498,3475.478239071625
400000.0,-225000.0,8.612975162273026,4.935972904297847,3478.9932260744617
500000.0,-225000.0,8.625876959974063,4.950047592698977,3482.511898174744
-500000.0,-185000.0,8.223788045942465,4.756269326034365,3398.7569041465426
-400000.0,-185000.0,8.100650619192168,4.660294789115828,3377.258436928377
-300000.0,-185000.0,8.346460936064636,4.643759664949912,3427.236462144795
-250000.0,-185000.0,8.833831208230999,5.059360849843142,3528.8085528406536
-200000.0,-185000.0,8.606312428366897,4.959394794006819,3481.266030640886
-175000.0,-185000.0,8.484300467062551,4.856267066697174,3454.2305507443543
-150000.0,-185000.0,8.417854714878747,4.813733887758258,3440.0
-140000.0,-185000.0,8.418794904966385,4.81,3440.0
-130000.0,-185000.0,8.42,4.81,3440.0
-120000.0,-185000.0,8.42,4.81,3440.0
-110000.0,-185000.0,8.42,4.809999999999999,3440.0
-100000.0,-185000.0,8.42,4.809999999999999,3440.0000000000005
-95000.0,-185000.0,8.42,4.8100000000000005,3440.0
-90000.0,-185000.0,8.42,4.81,3440.0000000000005
-85000.0,-185000.0,8.42,4.81,3440.0000000000005
-80000.0,-185000.0,8.42,4.8100000000000005,3440.0
-75000.0,-185000.0,8.42,4.81,3440.0000000000005
-70000.0,-185000.0,8.42,4.81,3440.0
-65000.0,-185000.0,8.42,4.81,3440.0
-60000.0,-185000.0,8.42,4.81,3439.9999999999995
-55000.0,-185000.0,8.42,4.8100000000000005,3440.0
-50000.0,-185000.0,8.42,4.81,3440.0
-47500.0,-185000.0,8.42,4.81,3440.0
-45000.0,-185000.0,8.42084861500625,4.810848615006249,3440.0
-42500.0,-185000.0,8.422307000759636,4.812307000759637,3440.0
-40000.0,-185000.0,8.42376542656411,4.81376542656411,3440.0000000000005
-37500.0,-185000.0,8.425223892410388,4.815223892410389,3440.0
